item,label,date,platforms,country_of_origin,mobygames_id,youtube_url
http://www.wikidata.org/entity/Q4752799,Ancient Anguish,1992,cross-platform,,,
http://www.wikidata.org/entity/Q30900451,Locomotion,1992,"Atari ST,AmigaOS,DOS,Commodore Amiga,Commodore 64,MS-DOS",,11928,
http://www.wikidata.org/entity/Q116740062,Aldebaran,1992,Acorn Archimedes,,,
http://www.wikidata.org/entity/Q117842333,The Game of Life,1992,"AmigaOS,Commodore Amiga,MS-DOS",,2089,
http://www.wikidata.org/entity/Q117842337,Toto apprend le vocabulaire,1992,Smaky,,,
http://www.wikidata.org/entity/Q117842340,Toyball,1992,Commodore 64,,,
http://www.wikidata.org/entity/Q123019922,Kiro's Quest,1992,Commodore Amiga,,,
http://www.wikidata.org/entity/Q124300355,CINQ,1992,Smaky,,,
http://www.wikidata.org/entity/Q124300357,Garrison II,"1992,1988",Commodore Amiga,,50179,
http://www.wikidata.org/entity/Q902612,Supaplex,"1992,1991","Atari ST,AmigaOS,DOS,Commodore Amiga,MS-DOS,ZX Spectrum,macOS,Microsoft Windows,Linux",,2106,https://www.youtube.com/watch?v=wKZmn57kzuw
http://www.wikidata.org/entity/Q1574206,Traders: The Intergalactic Trading Game,"1992,1991","Atari ST,DOS,Commodore Amiga,MS-DOS",,4320,"https://www.youtube.com/watch?v=dD14-XRH_nA,https://www.youtube.com/watch?v=kJNtcQAzf0Y,https://www.youtube.com/watch?v=J_pMAA5m1f4"
http://www.wikidata.org/entity/Q2412395,The Last Eichhof,1993,"DOS,MS-DOS,Microsoft Windows",,925,https://www.youtube.com/watch?v=kt8v6CFsqjs
http://www.wikidata.org/entity/Q104959760,Der Schatz im Silbersee,1993,"DOS,MS-DOS",,5810,https://www.youtube.com/watch?v=kOgOzyUoxBg
http://www.wikidata.org/entity/Q117842295,Blupi explorateur,1993,"Smaky,MS-DOS",,,
http://www.wikidata.org/entity/Q119718266,Raoul A. Pictor cherche son style,1993,Classic Mac OS,,,
http://www.wikidata.org/entity/Q119718272,TAF Minigame,1993,MS-DOS,,,
http://www.wikidata.org/entity/Q117842323,Raennamis,1994,Smaky,,,
